,Tweets,Level 1,Level 2
19999,ka koi Bata sakta hay Kay realme xt Kay camera properties Samsung and oppo Kay kis model say same miltay hay plz,no emotion,Neutral
19998,months warranty bluecolourabhi tak use nhi kiya hai phone tu scratches ka tu sawaal he peda nhi hota serious buyerscontact meon my number .,no emotion,Neutral
19997,Ager koi realme xt sale krna chahta ho to rabta kre only karachi wale,no emotion,Neutral
19996,mery pass oppo a he agar koi bhai exchange karna chahy to contact ,no emotion,Neutral
19995,Mery Pas Poco X3 ha . Kisi me realme pro se exchange Krna ho to rabta kry . Oper k pasy b pay kr du ga. .rawalpandi.islamabad,no emotion,Neutral
19994,"Adnan from islambad. Contact no ,meray pas realme pro hai only box open back per protection ka lia jelay case bi laga hai his bi ki chyeay rabata kray final no negotiation",no emotion,Neutral
19993,Kasi Bhai ny realme pro Exchange Karna hay Samsung note9 ke sath mobile /10 hay koi dot Nahi saf sat hay,no emotion,Neutral
19992,Bhakkar main kesi ny sell karna ho tu please contact mee,no emotion,Neutral
19991,Agar kisi ne vivo s1 se exchange Karna hai to btao whatsapp me,no emotion,Neutral
19990,Agar koi realms X3 superzoom pindi ya Islamabad we sell Krna Chahta h to rabta key,no emotion,Neutral
19989,Ager koi Bhai Karachi me realme X3 supper zoom sale karna Chata hy tocontact me01 Only serious saler and dealercontact me,no emotion,Neutral
19988,x3 supar zoom cahya lahor ma new ya koi bai bta day kis shop pr ha lahor ma,no emotion,Neutral
19987,Agr koi bhai realme x3 superzoom oppo reno k sath exchange karna chahta ha tu rabta karain full new condition weak howa ha location gujrat Contact number,no emotion,Neutral
19986,Agr koi realme X3 Superzoom with all originalaccessoriesfull box whitecolour6 month online warranty ma lana chata ha to rabta kry Location#Multan,no emotion,Neutral
19985,Mera realme xsuperzoom ka motherboard burn ho gaya hay months main hi company k ka board bol rahi hay bohat hi baykar phone hay,no emotion,Neutral
19984,Mr. Asif bhatti Yahi Specs kay sath oppo k+ meN phone baich raha hai. Aur Yeh Camera Phone nhi Hai yeh gaming Hai. Pubg HDR Extreme Pay Chalay Gi. Aur kya chahiye? camera laina hai to p0 lo ya S0 Ultra,no emotion,Neutral
19983,Bakwas mobile noGoogleplay services andfrontcamera only mp and back p sirf camera aik aur doosra mp bakwas mobile,emotion,Sad
19982,BHt hi zabardast flagship phone ho ga X0 Max. Specs are so powerful that it can compete with any other powerful device.,emotion,Happy
19981,Yar is handset may chipset toh acha use kia gia hai baki specs mujay koi khas nahi lagay.Or kya pata yeh hamari market may launch ho ga bhi keh nahi.,no emotion,Neutral
19980,Wao amazing device lakin kya yeh series Pakistan may launch ho gi or kab tak available ho gi any idea?,no emotion,Neutral
19979,Bohat maza aye ga agar ye phone mil gya koi bata sakta hai k ye kab launch ho ga aur is me google play services hoo gi ya ni,no emotion,Neutral
19978,Specs ko dekhain toh achi device lag rahi hai. bas agar RAM GB karr detay toh kya baat thi.,no emotion,Neutral
19977,selfie camera pata ni kya hoa sbi mp dy ry.baki sb thk hai lkn frontcammin mp hona chahye tha,no emotion,Neutral
19976,Mobile to acha lg ra hai lekin ram ni thk8 gbhone chahe the or gb rom phr kya bt hone the ph ke,no emotion,Neutral
19975,Agar specs ko dekha jai toh Honor ne kafi achay specs diay hain is device may. Pakistan may kab taklaunchho jai ga?,no emotion,Neutral
19974,Oppo A0 sale krna kisi ko chaiyee tu rabta kry warranty month bki new hai me mily gaa,no emotion,Neutral
19973,OppoA5 hi gb ram gb warranty month hi condition /10 Ka mile ga Raiwnid,no emotion,Neutral
19972,vivo y0 sirf aik hafta use kia hai agr koi oppo a2 seexchangekrna chahta ho to contact kry WhatsApp nmbr,no emotion,Neutral
19971,meet pass a2 hai /10 condition hai month ki warranti hai price gb gb contact,no emotion,Neutral
19970,agr ksi bahi ko jacbabad mn oppo f5 lana chatha jo to rbta kty final warnty mont ko khatm hona full fresh new /10 daba pak he smj lo itna use ni ha,no emotion,Neutral
19969,agr koi tk oppo f5 seal krna chahta ha to rabta kry rahim yar khan,no emotion,Neutral
19968,Agar Reno pro ki sat exchange karna chahta hy to contact,no emotion,Neutral
19967,Agr koi toba tek singh se a2 sale krna chahta ho tu rbta kry mujh se,no emotion,Neutral
19966,Mery pas oppo A2 hai condition /10 hai kesi ne lena ho contact kary new hai chaska party door rehy,no emotion,Neutral
19965,ye oppo a2 mobile kysa set h .....mery pass already oppo F1 h ...agr ye mobile acha h tu m new ly lyta hn ..btaye sb bhai sunany m aya h k ye slow h ...plzzz is k bry m mjy koiguidekr dy my whtsp no is,no emotion,Neutral
19964,Koi oppo f7 sale krna chahta hy tu me tu es numbr py rabta kre...05,no emotion,Neutral
